caps,sale,at,ap,bkvlps,ceq,ch,ci,cogs,dp,cik,fyear
0.26,65.838,174.744,3.244,18.9347,98.65,2.306,13.565,29.034,12.539,71557.0,2021.0
230.115,2074.877,2564.108,127.073,9.1654,1538.72,319.973,246.95,1039.568,57.502,71691.0,2021.0
634.929,614.781,752.886,84.585,5.0069,462.386,24.088,-32.834,484.928,42.225,71829.0,2021.0
10.766,45.063,66.185,0.94,13.9621,49.314,36.126,5.399,33.445,0.186,72205.0,2021.0
0.0,13.885,19.376,0.919,0.1303,2.895,1.264,0.509,10.252,0.849,709005.0,2021.0
0.0,14789.0,8869.0,1529.0,3.6449,581.0,322.0,198.0,8729.0,615.0,72333.0,2021.0
16.331,191.846,507.22,12.949,49.0207,352.116,86.005,51.548,125.565,26.385,789933.0,2021.0
0.0,21536.868,29752.082,1356.761,4.7485,10821.358,1639.739,7202.461,2806.37,812.374,353278.0,2021.0
2140.608,36483.939,25823.072,1974.041,51.4529,14016.389,2364.858,7125.949,24593.962,864.563,73309.0,2021.0
16749.0,25956.0,75036.0,3899.0,11.3107,10565.0,2764.0,2402.0,10692.0,8723.0,797468.0,2021.0
11.077,64.299,60.278,2.878,4.9912,47.436,12.685,8.406,38.631,1.47,350737.0,2021.0
186.72,133.572,126.383,11.926,1.8121,76.863,23.689,-7.08,82.018,4.06,350868.0,2021.0
699.401,1185.204,1824.279,63.497,29.5477,835.815,263.769,-32.248,906.386,87.009,1525221.0,2021.0
48.271,304.981,227.566,9.206,21.5041,159.539,24.591,19.117,225.563,14.177,74046.0,2021.0
440.608,9785.315,3536.551,1001.959,12.4415,938.501,55.712,219.507,8272.086,90.621,75252.0,2021.0
4092.0,8498.0,10015.0,1095.0,42.7888,4296.0,959.0,1002.0,5801.0,465.0,1370946.0,2021.0
14.167,53.554,58.19,2.92,13.7862,43.84,0.539,2.254,33.788,2.419,75340.0,2021.0
