cik,tic,Year,GICS_Sector
4457,UHAL,2021,20.0
896878,INTU,2021,45.0
703604,DSGR,2021,20.0
1334978,CCO,2021,50.0
1296435,NP,2021,15.0
906345,CPT,2021,60.0
885550,CACC,2021,40.0
79879,PPG,2021,15.0
46619,HEI,2021,20.0
1067701,URI,2021,20.0
92122,SO,2021,55.0
944809,OPK,2021,35.0
1564902,SEAS,2021,25.0
70318,THC,2021,35.0
96943,TFX,2021,35.0
1580905,IBP,2021,25.0
874501,AMBC,2021,40.0
912615,URBN,2021,25.0
354707,HE,2021,55.0
26324,CW,2021,20.0
1005210,SPH,2021,55.0
884624,OFIX,2021,35.0
1124941,BECN,2021,20.0
1751788,DOW,2021,15.0
1069878,TREX,2021,20.0
1390478,SLS,2021,35.0
1598428,TMST,2021,15.0
793733,SKYW,2021,20.0
1368622,AVAV,2021,20.0
1135185,AAWW,2021,20.0
1275187,ANGO,2021,35.0
1324948,RBC,2021,20.0
1067837,AUD,2021,50.0
728535,JBHT,2021,20.0
38725,FELE,2021,20.0
860731,TYL,2021,45.0
1021561,NUS,2021,30.0
1618756,QSR,2021,25.0
1609804,OEC,2021,15.0
1397911,LPLA,2021,40.0
1065280,NFLX,2021,50.0
1296445,ORA,2021,55.0
41719,GLT,2021,15.0
857855,UCBI,2021,40.0
1320461,CPS,2021,25.0
816956,CNMD,2021,35.0
1790982,ARNC,2021,15.0
1040130,PETS,2021,25.0
913144,RNR,2021,40.0
1402436,SSNC,2021,45.0
1657853,HTZ,2021,20.0
278166,CVCO,2021,25.0
86312,TRV,2021,40.0
716634,RDI,2021,50.0
842162,LEA,2021,25.0
1590715,AREC,2021,10.0
825542,SMG,2021,15.0
789460,INT,2021,10.0
1014111,GLAE,2021,40.0
924822,MLR,2021,20.0
1378992,BERY,2021,15.0
74260,ORI,2021,40.0
29905,DOV,2021,20.0
895728,ENB,2021,10.0
1116132,TPR,2021,25.0
109380,ZION,2021,40.0
1144980,ABG,2021,25.0
712534,FRME,2021,40.0
790051,CSL,2021,20.0
1282648,BATL,2021,10.0
39911,GPS,2021,25.0
1043604,JNPR,2021,45.0
1474735,GNRC,2021,20.0
1022671,STLD,2021,15.0
866706,ESE,2021,20.0
1114483,ITGR,2021,35.0
815094,ABMD,2021,35.0
1334036,CROX,2021,25.0
920760,LEN,2021,25.0
29534,DG,2021,25.0
922358,FGPR,2021,55.0
60519,LPX,2021,15.0
1396009,VMC,2021,15.0
913142,BDC,2021,45.0
928658,CVLG,2021,20.0
927066,DVA,2021,35.0
880266,AGCO,2021,20.0
92380,LUV,2021,20.0
277509,FSS,2021,20.0
1012100,SEE,2021,15.0
1097864,ON,2021,45.0
854560,GSBC,2021,40.0
1265131,HTH,2021,40.0
1524472,XYL,2021,20.0
1037038,RL,2021,25.0
1381197,IBKR,2021,40.0
73124,NTRS,2021,40.0
1726173,BH,2021,25.0
701985,BBWI,2021,25.0
1732845,WRK,2021,15.0
16058,CACI,2021,20.0
72331,NDSN,2021,20.0
34088,XOM,2021,10.0
1173514,HY,2021,20.0
217346,TXT,2021,20.0
1488139,AMRC,2021,20.0
1276520,GNW,2021,40.0
1287213,PLOW,2021,20.0
863110,ARTNA,2021,55.0
729580,BELFB,2021,45.0
64040,SPGI,2021,40.0
317540,COKE,2021,30.0
746838,UIS,2021,45.0
937098,TNET,2021,20.0
93389,SMP,2021,25.0
310142,SXT,2021,15.0
1599489,VRTV,2021,20.0
897077,ALG,2021,20.0
731766,UNH,2021,35.0
742112,IVCRQ,2021,35.0
1053507,AMT,2021,60.0
54480,KSU,2021,20.0
732717,T,2021,50.0
4962,AXP,2021,40.0
1013880,TTEC,2021,45.0
1159281,ALR,2021,35.0
1331875,FNF,2021,40.0
1040470,AEHR,2021,45.0
1093082,HBP,2021,20.0
1585364,PRGO,2021,35.0
924901,VRE,2021,60.0
796343,ADBE,2021,45.0
720672,SF,2021,40.0
915389,EMN,2021,15.0
1101215,BFH,2021,40.0
277948,CSX,2021,20.0
798354,FISV,2021,45.0
1133311,TZOO,2021,50.0
1361538,PRIM,2021,20.0
37472,FLXS,2021,25.0
1635984,NWLI,2021,40.0
1674168,HGV,2021,25.0
108516,WOR,2021,15.0
1417398,HI,2021,20.0
1385280,CNK,2021,50.0
867665,AXAS,2021,10.0
868671,GBCI,2021,40.0
912593,SUI,2021,60.0
1666700,DD,2021,15.0
49196,HBAN,2021,40.0
59527,LECO,2021,20.0
55067,K,2021,30.0
25475,CRD.A,2021,40.0
1723089,CHX,2021,10.0
1130713,OSTK,2021,25.0
1158463,JBLU,2021,20.0
868857,ACM,2021,20.0
1582568,PBFX,2021,10.0
759944,CFG,2021,40.0
906107,EQR,2021,60.0
10329,BSET,2021,25.0
1597033,SABR,2021,45.0
1049502,MKSI,2021,45.0
60714,LXU,2021,15.0
1042893,DRQ,2021,10.0
1708035,ECVT,2021,15.0
708955,FFBC,2021,40.0
1337298,FF,2021,15.0
1063344,HT,2021,60.0
876523,EZPW,2021,40.0
891014,MTX,2021,15.0
894405,ARCB,2021,20.0
320187,NKE,2021,25.0
1748790,AMCR,2021,15.0
